Pos.,Sexe,Nom,freq,permil
398,D,amelia,2596,0.33
399,D,salma,2581,0.33
400,D,barbara,2579,0.33
401,H,alexander,2571,0.33
402,D,agustina,2559,0.33
403,D,aicha,2542,0.33
404,H,hassan,2534,0.33
404,H,jose francisco,2534,0.33
406,D,rita,2527,0.32
407,H,luca,2524,0.32
408,D,tatiana,2515,0.32
409,H,juan luis,2514,0.32
410,D,encarnacio,2512,0.32
411,H,moises,2509,0.32
412,H,oliver,2508,0.32
413,D,gabriela,2498,0.32
414,H,rayan,2489,0.32
415,H,hamza,2484,0.32
416,D,isabel maria,2480,0.32
417,H,eugenio,2460,0.32
418,H,ayoub,2434,0.31
419,D,maria magdalena,2427,0.31
420,H,antonio jose,2399,0.31
421,D,gala,2398,0.31
422,D,begoña,2397,0.31
423,H,bilal,2390,0.31
424,D,maria inmaculada,2377,0.31
425,H,aran,2374,0.3
426,D,felisa,2366,0.3
427,H,ernesto,2349,0.3
428,H,luis miguel,2332,0.3
429,H,quim,2320,0.3
430,H,marco,2305,0.3
431,H,jose carlos,2301,0.3
432,D,belen,2281,0.29
433,H,agusti,2278,0.29
434,H,gael,2273,0.29
435,D,naiara,2249,0.29
436,H,carlos alberto,2226,0.29
437,D,lola,2222,0.29
438,D,adoracion,2220,0.28
439,D,maria belen,2216,0.28
440,D,guadalupe,2214,0.28
440,H,matias,2214,0.28
442,H,esteve,2207,0.28
443,D,maria esther,2192,0.28
444,D,juliana,2178,0.28
445,H,elias,2172,0.28
446,D,naima,2153,0.28
447,D,soraya,2147,0.28
448,H,roman,2143,0.28
449,D,eugenia,2120,0.27
450,H,khalid,2094,0.27
451,D,vera,2080,0.27
452,H,juan pedro,2064,0.26
453,D,anais,2040,0.26
454,D,alma,2035,0.26
455,H,dylan,2030,0.26
456,D,amina,2027,0.26
457,D,maria lluisa,2018,0.26
458,D,estela,2015,0.26
459,D,anabel,2005,0.26
460,H,israel,1989,0.26
461,H,abdellah,1966,0.25
462,H,liam,1942,0.25
463,D,immaculada,1935,0.25
464,D,yasmina,1932,0.25
465,D,leyre,1930,0.25
466,D,ainoa,1927,0.25
467,H,ibrahim,1924,0.25
468,H,luis alberto,1907,0.24
468,D,malak,1907,0.24
470,H,pedro jose,1900,0.24
471,H,hicham,1898,0.24
472,D,maria nuria,1893,0.24
473,H,julen,1888,0.24
474,H,aniol,1878,0.24
