IDQUEST	ANY_NAIX	P1	P2	P3_A	P3_B	P3_C	P3_D	P3BIS	P4_A	P4_B	P4_C	P4_D	P5_A	P5_B	P5_C	P5_D	P6	P7	P8_A	P8_B	P8_C	P8_D	P9_A	P9_B	P9_C	P9_D	P10	P11	P15	P17	P18	P22	P23	P25	P26	P30	P31	P35	P39	P40	P42	P43	P47	P48	P50A	P50B	P50C	P51A	P51B	P51C	P56	P60	P64	P65	P66	P70	P73	P74	P75	P79	P81	P85	P89	P93	P97	P101	P105	P109	P116	P117	P118	P119	P120	P121	P122	P123	P124	P128A_1	P128A_2	P128A_3	P128A_4	P128B_1	P128B_2	P128B_3	P128B_4	P128C_1	P128C_2	P128C_3	P128C_4	P128D_1	P128D_2	P128D_3	P128D_4	P128E_1	P128E_2	P128E_3	P128E_4	P129	P130	P130A	P130B	P131	P132	P134	P135	SEXE	SIT_PROF	AMBIT_TERRITORIAL	EDAT_5	CAL
490418	1963	1	 	1	1	1	1	 	1	1	1	1	 	 	 	 	2	1	1	1	1	1	2	 	 	 	2	4	2	2	4	2	2	1	5	2	5	97	3	 	 	 	 	0	 	 	 	 	 	 	2	2	2	 	99	1	2	 	1	1	2	2	1	1	1	2	1	2	1	1	1	2	1	2	1	1	2	10	10	10	10	10	10	10	10	 	 	 	 	0	0	0	0	4	4	4	4	2	2	 	 	1	0	4	1	1	4	1	8	1357845
490518	1950	99	 	1	2	2	 	 	1	1	1	1	 	 	 	 	2	2	1	2	2	 	2	 	 	 	4	5	3	2	5	2	3	2	5	2	5	5	1	1	3	5	2	2	3	3	 	5	5	 	5	5	2	 	99	8	 	 	99	99	5	5	5	5	5	5	5	5	2	4	5	1	3	1	1	1	3	2	1	3	0	10	10	10	10	 	 	 	 	3	2	3	0	4	2	5	2	2	1	7	 	3	2009	4	1	6	99	1	11	1358158
490618	1931	1	 	1	1	1	2	 	1	1	1	1	 	 	 	 	1	1	2	 	 	 	2	 	 	 	2	1	1	2	1	1	2	1	1	2	1	5	1	1	1	1	1	2	1	1	 	1	1	 	1	1	2	 	99	4	2	 	1	1	1	1	1	1	1	2	2	99	1	1	2	5	4	3	3	1	1	10	10	5	0	10	10	10	10	 	 	 	 	0	0	0	0	0	0	0	0	2	2	 	5	1	0	2	1	6	4	1	15	1322615
490718	1948	1	 	1	1	1	2	 	1	1	1	1	 	 	 	 	1	1	2	 	 	 	2	 	 	 	2	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	 	1	1	 	2	2	2	 	99	4	2	 	1	88	2	2	1	1	1	2	1	4	98	1	2	2	2	99	99	2	99	10	10	10	0	10	10	10	10	 	 	 	 	0	0	0	0	0	0	0	0	2	2	 	 	1	0	3	1	6	4	1	11	1322615
490818	1978	1	 	1	1	1	1	 	1	1	1	1	 	 	 	 	1	1	1	1	1	1	2	 	 	 	3	1	1	2	1	1	1	2	1	1	97	1	1	1	1	1	1	1	1	 	 	1	 	 	1	3	2	 	99	1	1	1	99	4	2	2	1	1	1	1	1	2	1	2	2	2	3	2	2	1	3	8	8	8	7	8	8	8	7	 	 	 	 	0	0	0	0	7	6	8	6	2	2	 	 	1	0	3	1	1	3	1	5	1366524
490918	1972	2	 	1	1	1	1	 	1	1	1	1	 	 	 	 	2	3	1	1	1	1	2	 	 	 	3	4	2	2	5	2	2	2	5	2	5	5	1	1	1	5	198	1	1	 	 	1	 	 	4	3	2	 	99	1	2	 	3	2	3	4	1	1	1	3	2	5	1	2	2	2	2	1	1	1	3	10	9	10	7	10	10	10	10	 	 	 	 	3	0	0	0	6	5	7	6	1	1	 	 	1	0	3	1	1	4	1	7	1357845
491018	1946	2	 	1	2	2	 	 	1	1	1	1	 	 	 	 	2	2	2	 	 	 	2	 	 	 	2	5	2	99	5	2	2	99	5	2	5	5	2	 	1	5	99	2	1	1	 	5	5	 	5	5	2	 	99	4	2	 	5	5	5	5	5	5	5	5	5	5	3	4	5	1	3	99	99	2	5	10	2	2	0	10	10	10	10	 	 	 	 	0	0	0	0	0	0	0	0	2	2	 	5	2	1959	2	1	6	4	1	12	1316016
491118	1979	99	 	2	 	 	 	 	1	2	1	1	 	 	 	 	99	99	1	1	1	1	2	 	 	 	1	99	3	2	6	99	3	3	6	99	99	99	99	 	 	 	 	0	 	 	 	 	 	 	99	99	2	 	99	99	 	 	99	99	99	99	6	6	99	99	6	6	99	99	99	99	99	99	99	99	99	0	0	0	0	4	4	5	5	 	 	 	 	0	0	0	0	10	10	10	10	99	99	 	 	3	2017	99	99	1	99	1	5	1403236
491218	1991	2	 	1	2	1	2	 	1	1	1	1	 	 	 	 	2	2	1	1	1	1	2	 	 	 	3	5	2	3	5	2	2	3	5	2	5	5	99	 	 	 	 	0	 	 	 	 	 	 	5	5	1	2	5	1	2	 	5	5	5	5	5	5	5	5	5	5	2	4	5	1	3	99	99	1	99	10	2	10	4	10	10	10	10	 	 	 	 	6	0	6	0	10	8	10	9	1	1	 	 	2	2016	4	1	6	4	1	3	1377514
491318	1966	1	 	1	1	1	1	 	1	1	1	1	 	 	 	 	1	1	2	 	 	 	2	 	 	 	3	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	 	 	1	 	 	2	2	2	 	99	8	 	 	99	99	2	2	2	2	1	2	2	2	1	2	2	2	1	1	1	1	2	10	10	10	8	10	10	10	10	 	 	 	 	0	0	0	0	6	5	5	4	1	99	 	 	1	0	4	1	6	99	1	8	1221277
491418	1967	2	 	1	2	1	2	 	1	1	1	1	 	 	 	 	2	2	1	1	1	1	2	 	 	 	2	5	3	3	5	2	3	99	99	99	97	5	1	1	2	5	2	0	 	 	 	 	 	 	5	5	2	 	99	1	3	 	5	88	5	5	5	5	99	5	5	5	5	4	5	1	2	1	1	2	3	5	2	5	2	10	10	10	10	 	 	 	 	0	0	0	0	4	3	5	4	2	1	 	 	3	1992	4	2	6	5	1	8	1254084
491518	1982	193	 	1	1	1	2	 	1	1	1	1	 	 	 	 	193	2	2	 	 	 	2	 	 	 	4	8	3	3	6	999	3	3	6	193	6	6	1	1	1	5	2	2	1	1	 	6	6	 	8	5	2	 	99	1	2	 	8	8	5	5	5	5	5	5	5	8	1	4	5	1	4	2	1	2	3	7	4	8	2	10	10	10	10	 	 	 	 	0	0	0	0	3	3	3	3	1	2	 	 	3	1996	4	3	6	4	1	5	1194198
491618	1997	2	 	2	 	 	 	 	1	1	1	1	 	 	 	 	2	2	2	 	 	 	2	 	 	 	5	5	3	3	5	2	3	2	5	2	5	5	1	1	3	5	2	1	1	 	 	5	 	 	5	5	2	 	99	8	 	 	99	99	5	5	5	5	5	5	5	5	99	98	99	1	5	1	1	2	5	0	0	0	0	10	10	10	10	 	 	 	 	0	0	0	0	0	0	0	0	2	1	 	 	3	2015	3	2	6	99	1	2	1421605
