IDQUEST	ANY_NAIX	P1	P2	P3_A	P3_B	P3_C	P3_D	P3BIS	P4_A	P4_B	P4_C	P4_D	P5_A	P5_B	P5_C	P5_D	P6	P7	P8_A	P8_B	P8_C	P8_D	P9_A	P9_B	P9_C	P9_D	P10	P11	P15	P17	P18	P22	P23	P25	P26	P30	P31	P35	P39	P40	P42	P43	P47	P48	P50A	P50B	P50C	P51A	P51B	P51C	P56	P60	P64	P65	P66	P70	P73	P74	P75	P79	P81	P85	P89	P93	P97	P101	P105	P109	P116	P117	P118	P119	P120	P121	P122	P123	P124	P128A_1	P128A_2	P128A_3	P128A_4	P128B_1	P128B_2	P128B_3	P128B_4	P128C_1	P128C_2	P128C_3	P128C_4	P128D_1	P128D_2	P128D_3	P128D_4	P128E_1	P128E_2	P128E_3	P128E_4	P129	P130	P130A	P130B	P131	P132	P134	P135	SEXE	SIT_PROF	AMBIT_TERRITORIAL	EDAT_5	CAL
218518	1976	2	 	2	 	 	 	 	1	1	1	2	 	 	 	 	197	197	2	 	 	 	2	 	 	 	5	6	3	1	6	197	3	2	6	197	6	6	2	 	3	6	197	2	3	3	 	6	6	 	8	8	2	 	99	1	3	 	5	5	5	5	5	5	5	5	5	99	98	4	5	1	1	2	1	1	8	5	2	2	1	10	10	10	5	 	 	 	 	0	0	0	0	0	0	0	0	2	2	 	 	3	2007	3	2	6	5	5	6	424405
218618	1968	197	 	1	2	2	 	 	1	1	1	1	 	 	 	 	197	2	1	2	2	 	2	 	 	 	1	99	3	1	6	197	3	1	6	197	97	6	1	2	3	6	197	2	3	3	 	6	6	 	5	5	1	1	5	9	2	 	5	5	5	5	5	5	5	5	5	8	1	4	5	1	3	99	2	2	99	1	0	0	0	4	4	4	4	 	 	 	 	0	0	0	0	2	0	0	0	2	1	 	 	3	2007	3	2	1	4	5	7	495521
218718	1979	1	 	1	1	1	1	 	1	1	1	1	 	 	 	 	2	1	2	 	 	 	2	 	 	 	3	2	2	2	3	2	1	3	1	1	5	97	1	1	1	1	1	1	1	 	 	2	 	 	2	2	2	 	99	1	1	2	3	2	2	2	2	1	1	1	2	2	2	2	2	2	1	2	1	1	2	10	10	10	6	10	10	10	6	 	 	 	 	0	0	0	0	0	0	0	0	2	2	 	 	1	0	2	1	1	1	5	5	485639
218818	1935	1	 	1	1	1	1	 	1	1	1	1	 	 	 	 	1	1	2	 	 	 	2	 	 	 	4	1	1	1	1	1	1	1	1	1	97	97	2	 	1	1	1	4	1	1	1	1	1	1	1	1	2	 	99	4	 	 	99	99	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	10	10	10	10	10	6	8	5	 	 	 	 	0	0	0	0	0	0	0	0	2	2	 	 	1	0	2	1	6	99	5	14	470034
218918	1950	1	 	1	1	1	2	 	1	1	1	1	 	 	 	 	1	1	2	 	 	 	2	 	 	 	1	99	1	1	1	1	1	1	1	1	1	1	2	 	1	1	1	2	1	1	 	1	1	 	1	1	2	 	99	4	 	 	99	99	1	1	1	1	1	1	1	1	1	1	2	2	4	2	3	1	1	10	10	8	5	10	10	10	8	 	 	 	 	0	0	0	0	0	0	0	0	2	1	 	 	1	0	2	99	6	99	5	11	470034
219018	1975	1	 	1	1	1	1	 	1	1	1	1	 	 	 	 	1	1	2	 	 	 	2	 	 	 	4	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	2	2	1	1	 	1	1	 	2	1	1	1	3	1	2	 	1	1	1	3	1	1	1	3	3	1	5	1	2	2	1	2	2	1	9	10	10	10	10	10	10	10	10	 	 	 	 	2	2	1	0	0	0	0	0	2	1	 	 	1	0	3	1	6	4	5	6	413318
219118	1989	1	 	1	1	1	1	 	1	1	1	1	 	 	 	 	1	1	1	2	2	 	2	 	 	 	1	99	1	3	1	1	1	3	1	1	1	1	3	 	 	 	 	0	 	 	 	 	 	 	2	2	2	 	99	1	2	 	4	4	1	1	1	1	1	3	4	3	1	1	2	2	1	99	2	2	3	10	10	10	10	10	10	10	10	 	 	 	 	0	0	0	0	2	0	0	0	2	2	 	 	1	0	3	1	6	4	5	3	492000
219218	1950	1	 	1	1	1	2	 	1	1	1	1	 	 	 	 	1	1	2	 	 	 	2	 	 	 	2	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	 	 	1	 	 	1	1	2	 	99	4	1	2	3	88	1	1	1	1	1	1	1	1	1	1	2	2	1	2	2	1	9	10	9	7	4	10	10	10	10	 	 	 	 	0	0	0	0	0	0	0	0	1	2	 	5	1	0	3	1	1	1	5	11	453304
219318	1958	2	 	1	1	1	1	 	1	1	1	1	 	 	 	 	2	3	2	 	 	 	2	 	 	 	3	5	2	1	5	2	2	2	5	2	5	5	1	1	2	5	2	3	1	1	1	4	4	4	3	3	2	 	99	4	2	 	2	2	4	2	1	1	99	1	1	99	2	2	2	2	2	1	1	2	3	10	10	10	7	10	10	10	8	 	 	 	 	0	0	0	0	0	0	0	0	2	99	 	 	2	1958	3	1	6	4	5	9	431862
219418	1962	1	 	1	1	1	2	 	1	1	1	1	 	 	 	 	2	2	2	 	 	 	2	 	 	 	2	5	2	1	5	2	2	3	5	2	5	5	2	 	1	5	2	1	1	 	 	5	 	 	2	2	2	 	99	1	1	1	99	2	2	4	4	1	4	5	2	5	1	2	1	2	1	1	1	2	3	8	6	7	0	10	10	10	10	 	 	 	 	0	0	0	0	0	0	0	0	2	2	 	 	2	1968	2	1	6	3	5	9	431862
219518	1962	197	 	1	1	1	2	 	1	1	1	1	 	 	 	 	197	197	1	2	1	2	1	1	1	2	5	6	3	3	6	197	3	3	6	197	6	6	1	1	3	6	197	2	3	1	 	6	6	 	8	5	2	 	99	1	2	 	8	5	4	4	5	3	3	5	4	8	5	3	2	2	2	2	2	2	3	8	7	5	0	10	10	10	7	 	 	 	 	4	4	5	3	5	5	5	5	1	1	 	 	3	2004	3	2	1	4	5	9	495521
219618	1974	1	 	1	1	1	1	 	1	1	1	1	 	 	 	 	1	1	2	 	 	 	2	 	 	 	3	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	 	 	1	 	 	1	1	2	 	99	1	3	 	1	1	1	1	1	1	1	2	1	1	1	1	2	2	1	2	2	1	2	10	10	10	10	10	10	10	10	 	 	 	 	1	0	0	0	3	0	3	1	2	1	 	 	1	0	3	1	6	5	5	6	413318
219718	1981	1	 	1	1	1	1	 	1	1	1	1	 	 	 	 	1	1	1	1	1	1	1	1	1	1	2	1	2	2	1	99	1	2	1	1	1	97	1	1	1	1	1	0	 	 	 	 	 	 	2	2	2	 	99	1	2	 	1	1	1	1	1	1	1	1	1	2	2	1	2	2	1	3	3	1	2	10	8	8	8	8	8	8	8	 	 	 	 	7	5	7	6	7	6	7	7	1	2	 	 	1	0	4	1	6	4	5	5	413318
219818	1954	1	 	1	1	1	2	 	1	1	1	1	 	 	 	 	1	1	2	 	 	 	2	 	 	 	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	 	1	1	 	1	1	2	 	99	4	1	1	99	2	1	2	1	1	1	1	1	99	1	1	2	2	1	2	2	99	1	10	10	7	2	10	10	10	10	 	 	 	 	0	0	0	0	0	0	0	0	2	2	 	5	1	0	2	1	1	3	5	10	482554
219918	1955	1	 	1	1	1	1	 	1	1	1	1	 	 	 	 	1	1	2	 	 	 	2	 	 	 	5	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	 	1	1	 	2	1	2	 	99	4	2	 	1	3	1	1	1	1	1	1	1	99	1	1	2	5	2	99	1	1	1	10	10	10	8	10	10	10	10	 	 	 	 	3	0	0	0	0	0	0	0	2	2	 	5	1	0	2	1	1	4	5	10	482554
220018	1993	1	 	1	1	1	1	 	1	1	1	1	 	 	 	 	99	2	1	1	1	1	2	 	 	 	4	3	1	2	4	99	1	2	1	99	5	1	1	2	2	9	2	0	 	 	 	 	 	 	3	2	2	 	99	1	3	 	9	9	2	2	2	2	2	2	2	9	5	2	2	2	3	2	3	2	6	10	10	10	8	10	10	10	9	 	 	 	 	0	0	0	0	6	4	6	3	2	2	 	4	1	0	3	1	1	5	5	2	515644
220118	1967	1	 	1	1	1	1	 	1	1	1	1	 	 	 	 	1	1	2	 	 	 	2	 	 	 	3	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	 	 	1	 	 	1	1	2	 	99	8	 	 	99	99	1	1	99	1	99	1	2	1	2	1	2	2	3	2	2	1	1	10	10	10	7	10	6	10	7	 	 	 	 	1	1	1	0	2	2	2	2	2	2	 	 	1	0	3	1	6	99	5	8	434025
220218	1976	1	 	1	1	1	1	 	1	1	1	1	 	 	 	 	1	1	2	 	 	 	2	 	 	 	4	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	 	1	1	 	2	2	2	 	99	1	2	 	2	2	2	2	2	1	1	2	2	1	1	1	2	2	1	2	3	1	1	10	10	10	8	10	10	10	7	 	 	 	 	4	0	2	0	3	2	0	0	2	99	 	 	1	0	2	1	6	4	5	6	413318
220318	1987	2	 	1	1	1	1	 	1	1	1	1	 	 	 	 	2	2	1	1	1	1	1	2	2	 	3	3	2	2	5	2	2	3	5	2	5	5	1	1	1	3	1	1	1	 	 	3	 	 	5	5	2	 	99	1	2	 	3	3	3	3	3	2	2	2	5	5	3	2	2	2	1	1	1	1	3	10	10	10	10	10	10	10	10	 	 	 	 	3	0	2	0	6	4	7	7	2	1	 	 	2	1998	4	1	6	4	5	4	411261
220418	1984	1	 	1	1	1	1	 	1	1	1	1	 	 	 	 	1	1	1	1	1	1	1	1	1	1	2	2	1	2	1	1	99	99	99	99	1	99	1	1	1	2	2	0	 	 	 	 	 	 	2	2	2	 	99	1	2	 	2	2	2	2	2	2	2	2	2	2	1	1	2	2	3	3	3	1	1	10	9	9	8	10	8	9	10	 	 	 	 	8	6	7	6	8	6	6	6	2	99	 	 	1	0	3	1	6	4	5	4	413318
220518	1984	998	 	2	 	 	 	 	1	1	1	1	 	 	 	 	998	998	2	 	 	 	2	 	 	 	6	8	3	4	6	998	3	4	6	998	6	6	1	1	3	8	998	3	3	1	1	8	8	8	8	5	2	 	99	1	3	 	5	88	5	5	5	5	5	5	5	5	1	4	5	4	1	3	3	1	8	3	2	1	1	9	9	8	8	 	 	 	 	0	0	0	0	0	0	0	0	2	1	 	 	3	2008	4	2	6	5	5	4	424405
220618	1952	2	 	1	2	2	 	 	1	1	1	1	 	 	 	 	2	2	2	 	 	 	2	 	 	 	2	5	2	1	5	2	2	1	5	2	5	5	1	1	1	5	2	2	1	1	 	5	5	 	5	5	1	2	5	8	 	 	99	99	5	5	5	5	5	5	5	99	3	4	5	1	3	2	2	2	3	5	0	0	0	9	9	1	1	 	 	 	 	0	0	0	0	0	0	0	0	2	2	 	 	2	1970	1	1	6	99	5	11	467688
220718	1940	1	 	1	1	1	1	 	1	1	1	1	 	 	 	 	1	1	2	 	 	 	2	 	 	 	1	99	2	1	1	1	2	1	1	1	1	1	2	 	1	1	1	2	1	1	 	1	1	 	1	1	2	 	99	4	 	 	99	99	1	1	1	1	1	99	1	1	1	2	2	2	2	2	1	1	2	10	7	10	7	10	9	10	10	 	 	 	 	0	0	0	0	0	0	0	0	1	1	 	 	2	1960	2	1	6	99	5	13	467688
220818	1984	998	 	1	1	1	1	 	1	1	1	1	 	 	 	 	197	999	1	2	1	2	2	 	 	 	5	9	3	3	6	998	3	3	6	998	97	6	1	1	3	6	998	3	3	1	1	9	9	9	8	8	2	 	99	1	3	 	5	88	4	4	4	4	4	4	4	9	98	2	2	2	1	1	2	2	3	8	5	8	5	8	8	8	8	 	 	 	 	0	0	0	0	5	0	5	0	1	1	 	 	3	2010	4	2	6	5	5	4	444080
220918	2001	2	 	1	1	1	1	 	1	1	1	1	 	 	 	 	2	3	1	1	1	1	1	1	1	1	3	8	3	4	8	107	2	3	5	2	6	5	3	 	 	 	 	0	 	 	 	 	 	 	2	2	1	1	1	1	3	 	1	88	3	3	5	1	99	5	5	9	1	2	2	2	2	1	2	2	3	10	10	10	10	10	10	10	10	 	 	 	 	4	4	6	3	10	10	10	10	2	2	 	 	1	0	3	3	1	5	5	1	539548
221018	1971	1	 	1	1	1	1	 	1	1	1	1	 	 	 	 	1	1	2	 	 	 	2	 	 	 	4	1	1	2	1	1	1	2	1	1	1	1	1	1	2	1	3	2	1	1	 	1	1	 	1	1	1	1	1	1	2	 	1	2	1	1	1	1	1	1	1	1	1	1	2	2	1	2	2	1	1	10	10	10	10	10	10	10	10	 	 	 	 	3	2	5	3	2	2	5	3	2	2	 	 	1	0	3	1	1	4	5	7	504925
221118	1953	1	 	1	1	1	2	 	1	1	1	1	 	 	 	 	1	1	2	 	 	 	2	 	 	 	3	1	1	2	1	1	1	2	1	1	1	97	1	1	1	1	1	1	1	 	 	1	 	 	2	1	2	 	99	9	2	 	2	88	1	2	1	1	99	1	1	99	1	1	1	5	1	2	1	1	2	10	8	6	5	10	10	10	9	 	 	 	 	0	0	0	0	0	0	0	0	2	2	 	4	1	0	2	1	1	4	5	10	504925
221218	1995	1	 	1	1	1	1	 	1	1	1	1	 	 	 	 	1	1	1	1	1	1	1	2	2	 	4	1	1	3	1	1	1	3	1	1	1	1	1	2	2	5	2	0	 	 	 	 	 	 	1	1	2	 	99	1	2	 	6	6	1	1	1	1	1	1	1	9	2	1	99	2	1	2	2	1	2	10	10	10	8	10	10	10	8	 	 	 	 	6	0	3	0	10	9	10	8	2	2	 	 	1	0	4	1	1	4	5	2	539548
221318	1941	1	 	1	1	1	2	 	1	1	1	1	 	 	 	 	1	1	2	 	 	 	2	 	 	 	2	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	 	 	1	 	 	1	1	2	 	99	4	1	2	1	1	1	1	1	1	1	1	1	99	1	1	2	2	1	2	2	1	2	10	10	10	6	10	7	6	5	 	 	 	 	0	0	0	0	0	0	0	0	2	2	 	 	1	0	2	1	1	1	5	13	474319
221418	1952	2	 	1	1	1	1	 	1	1	1	1	 	 	 	 	2	2	2	 	 	 	1	1	1	2	2	5	2	1	5	2	2	1	5	2	5	5	1	1	1	5	2	4	1	1	1	5	5	5	2	2	2	 	99	4	2	 	2	3	2	2	2	2	2	2	2	99	1	2	2	2	2	2	1	2	3	9	8	5	2	10	10	10	10	 	 	 	 	6	6	6	0	0	0	0	0	2	2	 	 	2	1970	2	1	1	4	5	11	471953
221518	1943	1	 	1	1	1	1	 	1	1	1	1	 	 	 	 	1	1	2	 	 	 	2	 	 	 	2	2	1	2	1	1	1	2	1	1	1	1	2	 	1	1	1	4	1	1	1	1	1	1	1	1	2	 	99	4	2	 	1	1	1	1	1	1	1	1	1	1	1	1	1	5	4	2	2	1	1	10	10	10	10	10	10	10	10	 	 	 	 	4	0	0	0	0	0	0	0	1	1	 	 	1	0	4	1	6	4	5	12	491824
221618	1969	1	 	1	1	1	1	 	1	1	1	1	 	 	 	 	1	1	1	1	1	1	1	1	1	2	3	3	1	2	1	1	1	2	1	1	3	3	1	1	2	5	2	1	2	 	 	1	 	 	3	2	1	2	6	1	2	 	9	3	2	3	3	1	1	3	2	3	1	2	2	2	1	1	1	1	2	10	10	10	10	10	10	10	10	 	 	 	 	6	6	6	3	8	9	9	9	2	2	 	 	1	0	4	1	1	4	5	7	504925
221718	1990	1	 	1	1	1	1	 	1	1	1	1	 	 	 	 	1	1	1	2	2	 	2	 	 	 	2	1	1	3	1	1	2	3	1	2	1	1	1	1	1	1	1	0	 	 	 	 	 	 	2	2	2	 	99	1	2	 	2	88	1	1	1	1	1	1	1	1	1	1	1	2	1	2	3	1	2	10	10	10	10	10	10	10	10	 	 	 	 	2	2	2	0	4	2	4	3	2	2	 	 	1	0	3	1	1	4	5	3	539548
221818	1961	1	 	1	1	1	1	 	1	1	1	1	 	 	 	 	1	1	2	 	 	 	2	 	 	 	4	1	1	2	1	1	1	99	1	1	1	1	1	1	1	1	1	2	1	1	 	1	5	 	2	1	2	 	99	1	1	1	1	2	2	2	2	1	1	1	2	2	5	1	2	2	2	2	2	2	2	10	10	9	7	10	9	9	9	 	 	 	 	1	0	1	0	1	0	0	0	2	2	 	 	1	0	2	1	6	3	5	9	454146
221918	1952	108	 	1	1	1	1	 	1	1	1	1	 	 	 	 	108	3	2	 	 	 	1	1	1	1	3	8	3	1	6	108	3	1	6	108	97	97	1	1	3	8	108	1	1	 	 	7	 	 	5	5	2	 	99	1	2	 	4	88	5	5	5	5	5	5	2	5	1	3	2	2	3	3	1	2	3	6	5	7	4	9	9	9	9	 	 	 	 	9	9	9	9	0	0	0	0	1	1	 	 	3	2004	3	3	6	4	5	11	505041
222018	1929	1	 	1	1	1	1	 	1	1	1	1	 	 	 	 	1	1	2	 	 	 	2	 	 	 	1	99	1	99	1	1	1	1	1	1	97	97	2	 	1	1	1	2	1	1	 	1	1	 	1	1	2	 	99	4	2	 	1	88	1	1	1	1	99	99	1	99	1	1	1	2	1	2	2	1	1	10	10	10	10	10	10	10	10	 	 	 	 	0	0	0	0	0	0	0	0	2	2	 	5	3	1933	2	1	6	4	5	15	505041
222118	1987	108	 	2	 	 	 	 	1	1	1	1	 	 	 	 	108	999	2	 	 	 	2	 	 	 	5	6	3	1	6	108	3	2	6	108	6	6	1	1	3	6	108	3	1	1	1	8	8	8	6	8	2	 	99	8	 	 	99	99	5	5	5	5	99	5	5	6	98	4	5	4	99	1	2	2	8	0	0	0	0	8	6	7	5	 	 	 	 	4	5	4	 	0	0	0	0	2	1	 	 	3	2017	2	2	6	99	5	4	444080
222218	1998	197	 	2	 	 	 	 	1	1	1	1	 	 	 	 	197	999	1	1	1	1	2	 	 	 	5	8	3	3	6	197	3	3	6	197	6	6	1	2	99	8	197	0	 	 	 	 	 	 	8	5	2	 	99	99	 	 	99	99	5	5	5	5	5	5	5	8	3	4	5	4	2	2	3	2	5	1	0	1	0	10	9	10	9	 	 	 	 	0	0	0	0	10	10	10	10	2	2	 	 	3	2017	3	2	6	99	5	1	528639
222318	1990	998	999	2	 	 	 	 	1	1	1	1	 	 	 	 	998	999	2	 	 	 	2	 	 	 	3	6	3	1	6	998	3	1	6	998	6	6	1	2	3	6	999	1	3	 	 	6	 	 	8	5	2	 	99	1	3	 	8	88	5	5	5	99	99	99	5	8	98	4	5	3	2	99	99	99	99	3	0	0	0	7	7	8	6	 	 	 	 	0	0	0	0	0	0	0	0	2	99	 	 	3	2005	2	2	1	5	5	3	554031
222418	1991	998	998	1	1	2	 	 	1	1	1	1	 	 	 	 	998	998	2	 	 	 	1	1	2	 	2	4	3	99	6	99	3	3	6	99	97	97	1	2	3	6	99	0	 	 	 	 	 	 	4	4	2	 	99	1	1	1	4	4	4	4	4	4	4	4	4	4	2	3	2	1	4	2	2	1	9	3	4	2	2	8	7	7	6	 	 	 	 	4	3	2	2	2	3	3	2	1	1	1	 	3	2011	2	2	1	3	5	3	554031
222518	1977	1	 	1	1	1	1	 	1	1	1	1	 	 	 	 	1	1	1	1	1	1	1	2	1	2	2	1	1	2	1	1	1	2	1	1	1	1	2	 	1	1	2	1	1	 	 	1	 	 	2	2	2	 	99	1	2	 	2	2	2	2	1	1	1	3	2	1	2	1	2	2	3	99	99	1	2	10	10	10	9	10	10	10	9	 	 	 	 	5	1	5	3	6	5	7	7	2	1	 	 	1	0	3	1	6	4	5	6	432479
222618	1979	1	 	1	1	1	1	 	1	1	1	1	 	 	 	 	1	1	1	1	1	1	2	 	 	 	2	4	1	4	1	1	1	3	1	1	1	1	1	1	2	4	2	0	 	 	 	 	 	 	2	4	2	 	99	1	2	 	2	2	2	2	1	99	99	99	99	2	2	2	2	2	4	99	3	1	9	10	10	10	10	10	10	10	10	 	 	 	 	2	1	3	0	6	4	7	4	2	1	 	 	1	0	3	1	1	4	5	5	508153
222718	1975	2	 	1	1	1	1	 	1	1	1	1	 	 	 	 	2	1	2	 	 	 	2	 	 	 	4	1	2	2	5	2	2	2	5	2	5	5	1	1	1	1	1	2	1	1	 	1	1	 	3	3	2	 	99	1	2	 	3	88	1	1	1	1	1	1	1	4	1	1	2	2	3	2	2	2	3	10	8	8	5	10	10	10	10	 	 	 	 	0	0	0	0	2	2	0	0	2	2	 	 	1	0	2	1	6	4	5	6	432479
222818	1949	1	 	1	1	1	2	 	1	1	1	1	 	 	 	 	1	1	2	 	 	 	2	 	 	 	2	1	1	1	1	1	1	1	1	1	97	97	1	1	1	1	1	3	1	1	1	1	1	1	3	3	2	 	99	4	1	2	3	3	3	3	3	2	2	4	2	99	3	2	2	2	2	2	1	1	2	9	8	6	3	9	8	8	7	 	 	 	 	0	0	0	0	0	0	0	0	2	99	 	 	1	0	2	1	1	1	5	11	474319
222918	1961	1	 	1	1	1	1	 	1	1	1	1	 	 	 	 	1	1	2	 	 	 	1	1	1	1	4	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	2	1	1	 	1	1	 	2	1	2	 	99	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	2	2	2	2	2	1	1	10	10	10	10	10	10	10	10	 	 	 	 	5	5	5	1	1	1	1	1	2	2	 	 	1	0	2	1	1	3	5	9	504925
223018	1983	1	 	1	1	1	1	 	1	1	1	1	 	 	 	 	999	1	2	 	 	 	1	1	2	 	3	1	2	99	5	2	2	99	99	99	5	97	1	1	1	1	1	1	1	 	 	1	 	 	2	1	2	 	99	8	 	 	99	99	3	3	1	1	1	1	3	3	1	1	2	2	1	99	2	1	3	10	10	10	5	10	10	10	8	 	 	 	 	2	5	0	0	0	0	0	0	2	2	 	 	3	1995	1	1	6	99	5	4	444080
223118	1948	1	 	1	1	1	2	 	1	1	1	1	 	 	 	 	1	1	2	 	 	 	2	 	 	 	2	1	1	99	1	99	1	99	1	99	97	97	1	2	1	1	2	1	1	 	 	1	 	 	1	1	1	1	1	99	 	 	99	99	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	10	10	10	4	10	10	10	10	 	 	 	 	0	0	0	0	0	0	0	0	2	2	 	 	1	0	2	1	1	99	5	11	474319
223218	1960	1	 	1	1	1	1	 	1	1	1	1	 	 	 	 	1	1	2	 	 	 	2	 	 	 	1	99	2	1	1	1	1	1	1	1	1	1	2	 	2	1	2	2	1	1	 	1	1	 	1	1	2	 	99	1	2	 	1	3	1	1	1	1	1	1	1	1	1	2	2	2	1	1	1	1	1	10	9	9	9	10	5	8	9	 	 	 	 	0	0	0	0	0	0	0	0	1	1	7	 	1	0	2	1	6	4	5	9	454146
223318	1947	2	 	1	2	2	 	 	1	1	1	1	 	 	 	 	2	2	2	 	 	 	2	 	 	 	3	5	2	2	5	2	2	2	5	2	5	5	1	1	2	5	2	2	1	1	 	5	5	 	5	5	2	 	99	4	2	 	5	5	5	5	5	5	5	5	5	5	2	4	5	1	2	1	1	2	5	10	6	0	0	10	10	10	10	 	 	 	 	0	0	0	0	0	0	0	0	2	2	 	 	2	1975	2	1	1	4	5	12	471953
223418	1975	3	 	1	1	1	1	 	1	1	1	1	 	 	 	 	1	1	2	 	 	 	2	 	 	 	4	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	 	1	1	 	1	3	2	 	99	1	1	3	1	2	2	2	1	1	1	1	2	2	3	1	2	2	1	1	1	1	3	10	10	10	10	10	10	10	10	 	 	 	 	3	0	2	3	4	3	4	4	2	1	 	 	1	0	3	1	6	2	5	6	432479
223518	1977	197	 	1	2	1	2	 	1	1	1	1	 	 	 	 	197	2	1	1	1	1	1	2	2	 	4	6	3	2	6	197	3	2	6	197	6	6	1	1	3	6	197	2	3	3	 	6	6	 	8	5	2	 	99	1	1	1	8	8	5	5	5	5	5	5	5	8	1	4	5	1	2	1	1	1	9	6	0	6	6	8	8	8	8	 	 	 	 	5	0	0	0	7	7	7	6	2	1	 	 	3	2007	3	2	1	3	5	6	521806
223618	1980	998	998	2	 	 	 	 	1	1	2	 	 	 	 	 	107	998	2	 	 	 	2	 	 	 	4	6	3	1	6	998	3	1	6	998	6	6	1	1	3	6	998	2	1	1	 	6	6	 	6	6	2	 	99	1	3	 	5	88	5	5	5	5	5	5	5	6	98	4	5	4	1	99	99	99	8	0	0	0	0	3	3	0	0	 	 	 	 	0	0	0	0	0	0	0	0	2	1	 	 	3	2003	1	2	1	5	5	5	521806
223718	1969	2	 	1	1	1	1	 	1	1	1	1	 	 	 	 	2	2	2	 	 	 	2	 	 	 	3	5	2	1	5	2	2	1	5	2	5	97	1	1	1	5	2	2	1	1	 	5	5	 	5	5	2	 	99	1	2	 	99	4	5	5	5	5	5	5	5	4	2	3	2	2	2	2	2	1	3	10	8	10	9	10	9	9	10	 	 	 	 	0	0	0	0	0	0	0	0	2	2	 	 	1	0	2	1	1	4	5	7	504925
223818	1986	197	 	1	2	1	2	 	1	1	1	1	 	 	 	 	197	999	1	2	1	1	2	 	 	 	3	6	3	3	6	197	3	2	6	197	6	6	1	1	3	6	197	1	1	 	 	6	 	 	8	8	2	 	99	1	2	 	5	88	5	5	5	5	99	5	5	8	98	4	5	4	99	99	99	2	99	6	3	3	2	7	7	8	7	 	 	 	 	0	0	0	0	7	7	8	6	2	1	 	 	3	2006	3	2	1	4	5	4	521806
223918	1992	197	 	1	2	2	 	 	1	1	1	1	 	 	 	 	197	999	2	 	 	 	1	1	1	1	3	6	3	4	6	197	3	4	6	197	6	6	1	1	3	6	197	0	 	 	 	 	 	 	8	5	2	 	99	1	2	 	8	5	5	5	5	5	5	5	5	8	1	4	5	4	2	2	2	2	5	2	0	0	0	9	9	9	9	 	 	 	 	5	5	5	5	0	0	0	0	2	1	7	 	3	2013	2	2	1	4	5	3	554031
224018	1981	3	 	1	1	1	1	 	1	1	1	1	 	 	 	 	2	2	2	 	 	 	2	 	 	 	2	4	2	2	5	2	2	2	3	2	5	5	1	1	1	4	2	0	 	 	 	 	 	 	1	1	2	 	99	1	2	 	1	1	1	1	1	1	1	1	1	3	1	1	2	2	1	2	2	1	3	10	10	10	10	10	10	10	10	 	 	 	 	 	 	 	 	3	3	5	3	2	2	 	 	1	0	4	1	6	4	5	5	432479
224118	1972	3	 	1	1	1	1	 	1	1	1	1	 	 	 	 	2	3	1	1	1	1	2	 	 	 	3	1	2	2	5	2	2	3	5	2	5	5	1	1	1	1	1	1	1	 	 	1	 	 	3	3	2	 	99	1	2	 	3	88	3	3	3	1	1	3	3	3	1	2	2	2	2	2	2	1	3	10	10	10	7	10	10	10	9	 	 	 	 	0	0	0	0	5	5	8	8	2	2	 	 	2	1972	3	1	1	4	5	7	502406
224218	1983	2	 	1	1	1	1	 	1	1	1	1	 	 	 	 	2	2	1	1	1	1	2	 	 	 	2	5	2	2	5	2	2	2	5	2	5	5	1	1	1	5	2	0	 	 	 	 	 	 	5	5	2	 	99	1	3	 	5	5	5	5	5	5	5	5	5	5	2	3	2	1	3	2	2	1	5	10	9	9	9	10	10	10	9	 	 	 	 	0	0	0	0	3	2	3	2	1	2	 	 	2	2005	3	1	6	5	5	4	430326
224318	2001	1	 	1	1	1	1	 	1	1	1	1	 	 	 	 	1	1	1	1	1	1	1	1	1	1	4	3	2	2	4	2	1	3	1	2	5	3	99	 	 	 	 	0	 	 	 	 	 	 	2	2	1	1	7	7	 	 	99	99	2	2	2	1	1	3	2	2	1	2	4	2	1	1	2	1	3	10	9	9	8	10	9	9	7	 	 	 	 	8	6	7	6	9	9	8	7	2	99	 	 	1	0	3	1	1	99	5	1	539548
